time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2019-05-29,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-05-30,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-05-31,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-06-03,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-06-04,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-06-05,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-06-06,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-06-07,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-06-10,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-06-11,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-06-12,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-06-13,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-06-14,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-06-17,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-06-18,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-06-19,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-06-20,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-06-21,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-06-24,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-06-25,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-06-26,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-06-27,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-06-28,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-07-01,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-07-02,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-07-03,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-07-04,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-07-05,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-07-08,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-07-09,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-07-10,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-07-11,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-07-12,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-07-15,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-07-16,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-07-17,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-07-18,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-07-19,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-07-22,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-07-23,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-07-24,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-07-25,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-07-26,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-07-29,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-07-30,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-07-31,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-08-01,1.0,1.0,1.0,1.0,0,0.0,,,,,
2019-08-02,0.6,0.6,0.6,0.6,2000,1200.0,,,,,
2019-08-05,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-08-06,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-08-07,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-08-08,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-08-09,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-08-12,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-08-13,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-08-14,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-08-15,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-08-16,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-08-19,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-08-20,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-08-21,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-08-22,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-08-23,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-08-26,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-08-27,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-08-28,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-08-29,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-08-30,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-09-03,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-09-04,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-09-05,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-09-06,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-09-09,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-09-10,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-09-11,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-09-12,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-09-13,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-09-16,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-09-17,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-09-18,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-09-19,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-09-20,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-09-23,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-09-24,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-09-25,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-09-26,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-09-27,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-09-30,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-10-01,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-10-02,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-10-03,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-10-04,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-10-07,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-10-08,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-10-09,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-10-10,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-10-11,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-10-14,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-10-15,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-10-16,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-10-17,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-10-18,0.7,0.7,0.7,0.7,200,140.0,,,,,
2019-10-21,0.7,0.7,0.7,0.7,0,0.0,,,,,
2019-10-22,0.7,0.7,0.7,0.7,0,0.0,,,,,
2019-10-23,0.7,0.7,0.7,0.7,0,0.0,,,,,
2019-10-24,0.7,0.7,0.7,0.7,0,0.0,,,,,
2019-10-25,0.6,0.6,0.6,0.6,100,60.0,,,,,
2019-10-28,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-10-29,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-10-30,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-10-31,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-11-01,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-11-04,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-11-05,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-11-06,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-11-07,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-11-08,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-11-11,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-11-12,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-11-13,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-11-14,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-11-15,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-11-18,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-11-19,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-11-20,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-11-21,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-11-22,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-11-25,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-11-26,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-11-27,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-11-28,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-11-29,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-12-02,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-12-03,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-12-04,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-12-05,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-12-06,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-12-09,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-12-10,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-12-11,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-12-12,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-12-13,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-12-16,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-12-17,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-12-18,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-12-19,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-12-20,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-12-23,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-12-24,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-12-25,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-12-26,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-12-27,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-12-30,0.6,0.6,0.6,0.6,0,0.0,,,,,
2019-12-31,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-01-02,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-01-03,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-01-06,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-01-07,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-01-08,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-01-09,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-01-10,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-01-13,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-01-14,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-01-15,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-01-16,0.6,0.6,0.6,0.6,0,0.0,,,,,
2020-01-17,0.7,0.7,0.7,0.7,100,70.0,,,,,
2020-01-20,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-01-21,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-01-22,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-01-30,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-01-31,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-02-03,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-02-04,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-02-05,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-02-06,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-02-07,0.8,0.8,0.8,0.8,100,80.0,,,,,
2020-02-10,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-02-11,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-02-12,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-02-13,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-02-14,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-02-17,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-02-18,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-02-19,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-02-20,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-02-21,0.9,0.9,0.9,0.9,200,180.0,,,,,
2020-02-24,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-02-25,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-02-26,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-02-27,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-02-28,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-03-02,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-03-03,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-03-04,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-03-05,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-03-06,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-03-09,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-03-10,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-03-11,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-03-12,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-03-13,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-03-16,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-03-17,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-03-18,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-03-19,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-03-20,0.9,0.9,0.9,0.9,300,270.0,,,,,
2020-03-23,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-03-24,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-03-25,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-03-26,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-03-27,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-03-30,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-03-31,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-04-01,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-04-03,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-04-06,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-04-07,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-04-08,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-04-09,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-04-10,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-04-13,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-04-14,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-04-15,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-04-16,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-04-17,0.9,0.9,0.9,0.9,100,90.0,,,,,
2020-04-20,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-04-21,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-04-22,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-04-23,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-04-24,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-04-27,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-04-28,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-04-29,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-05-04,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-05-05,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-05-06,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-05-07,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-05-08,1.0,1.0,1.0,1.0,100,100.0,,,,,
2020-05-11,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-05-12,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-05-13,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-05-14,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-05-15,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-05-18,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-05-19,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-05-20,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-05-21,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-05-22,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-05-25,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-05-26,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-05-27,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-05-28,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-05-29,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-06-01,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-06-02,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-06-03,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-06-04,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-06-05,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-06-08,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-06-09,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-06-10,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-06-11,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-06-12,0.9,0.9,0.9,0.9,300,270.0,,,,,
2020-06-15,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-06-16,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-06-17,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-06-18,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-06-19,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-06-22,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-06-23,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-06-24,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-06-25,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-06-26,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-06-29,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-06-30,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-07-01,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-07-02,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-07-03,1.0,1.0,1.0,1.0,100,100.0,,,,,
2020-07-06,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-07-07,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-07-08,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-07-09,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-07-10,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-07-13,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-07-14,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-07-15,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-07-16,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-07-17,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-07-20,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-07-21,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-07-22,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-07-23,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-07-24,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-07-27,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-07-28,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-07-29,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-07-30,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-07-31,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-08-03,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-08-04,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-08-05,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-08-06,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-08-07,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-08-10,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-08-11,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-08-12,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-08-13,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-08-14,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-08-17,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-08-18,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-08-19,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-08-20,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-08-21,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-08-24,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-08-25,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-08-26,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-08-27,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-08-28,1.0,1.0,1.0,1.0,1,1.0,,,,,
2020-08-31,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-09-01,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-09-03,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-09-04,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-09-07,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-09-08,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-09-09,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-09-10,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-09-11,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-09-14,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-09-15,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-09-16,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-09-17,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-09-18,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-09-21,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-09-22,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-09-23,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-09-24,1.0,1.0,1.0,1.0,0,0.0,,,,,
2020-09-25,0.9,0.9,0.9,0.9,1000,900.0,,,,,
2020-09-28,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-09-29,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-09-30,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-10-01,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-10-02,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-10-05,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-10-06,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-10-07,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-10-08,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-10-09,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-10-12,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-10-13,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-10-14,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-10-15,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-10-16,0.9,0.9,0.9,0.9,1000,900.0,,,,,
2020-10-19,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-10-20,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-10-21,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-10-22,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-10-23,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-10-26,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-10-27,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-10-28,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-10-29,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-10-30,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-11-02,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-11-03,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-11-04,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-11-05,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-11-06,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-11-09,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-11-10,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-11-11,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-11-12,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-11-13,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-11-16,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-11-17,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-11-18,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-11-19,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-11-20,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-11-23,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-11-24,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-11-25,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-11-26,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-11-27,0.9,0.9,0.9,0.9,700,630.0,,,,,
2020-11-30,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-12-01,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-12-02,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-12-03,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-12-04,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-12-07,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-12-08,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-12-09,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-12-10,0.9,0.9,0.9,0.9,0,0.0,,,,,
2020-12-11,0.8,0.8,0.8,0.8,500,400.0,,,,,
2020-12-14,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-12-15,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-12-16,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-12-17,0.8,0.8,0.8,0.8,0,0.0,,,,,
2020-12-18,0.7,0.7,0.7,0.7,5100,3570.0,,,,,
2020-12-21,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-12-22,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-12-23,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-12-24,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-12-25,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-12-28,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-12-29,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-12-30,0.7,0.7,0.7,0.7,0,0.0,,,,,
2020-12-31,0.7,0.7,0.7,0.7,0,0.0,,,,,
2021-01-04,0.7,0.7,0.7,0.7,0,0.0,,,,,
2021-01-05,0.7,0.7,0.7,0.7,0,0.0,,,,,
2021-01-06,0.7,0.7,0.7,0.7,0,0.0,,,,,
